,HAPPY,LIFE,AGE,CONINC,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,SOCREL,HAPPARTNER,FAIR_C,TRUST_C,HELPFUl_C,CONINC_CAT,PARTYID_CAT
566,1.0,2.0,,168736.0,0.0,,,,,1.0,2.0,1.0,2.0,"$100,000-999,999",STRONG DEMOCRAT
567,1.0,,52.0,168736.0,2.0,5.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
568,3.0,1.0,24.0,1344.0,7.0,,,,,,1.0,2.0,2.0,"$1,000-1,999 ",OTHER PARTY 
569,1.0,1.0,24.0,45360.0,2.0,,,,,1.0,1.0,2.0,1.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
579,3.0,2.0,38.0,168736.0,2.0,,,,,3.0,3.0,3.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
580,2.0,1.0,58.0,,3.0,,,,,1.0,2.0,1.0,1.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
582,2.0,,70.0,67200.0,0.0,6.0,5.0,6.0,5.0,,2.0,3.0,3.0,"$50,000-74,999",STRONG DEMOCRAT
585,2.0,2.0,59.0,168736.0,0.0,,,,,1.0,2.0,3.0,3.0,"$100,000-999,999",STRONG DEMOCRAT
586,2.0,,18.0,,5.0,5.0,6.0,7.0,5.0,,1.0,2.0,2.0,,NOT VERY STRONG REPUBLICAN
589,3.0,,43.0,45360.0,3.0,4.0,6.0,5.0,4.0,,3.0,3.0,3.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
590,2.0,,31.0,168736.0,1.0,6.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
592,2.0,2.0,51.0,94080.0,0.0,,,,,1.0,2.0,1.0,1.0,"$75,000-99,999",STRONG DEMOCRAT
596,2.0,,26.0,94080.0,2.0,7.0,2.0,3.0,4.0,,2.0,1.0,1.0,"$75,000-99,999","INDEPENDENT, CLOSE TO DEMOCRAT"
597,2.0,,56.0,168736.0,5.0,5.0,5.0,7.0,2.0,2.0,2.0,2.0,2.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
598,3.0,,41.0,9240.0,0.0,1.0,7.0,7.0,7.0,,1.0,2.0,3.0,"$9,000-9,999",STRONG DEMOCRAT
599,2.0,2.0,28.0,18480.0,0.0,,,,,,2.0,3.0,1.0,"$15,000-19,999",STRONG DEMOCRAT
602,2.0,2.0,,,3.0,,,,,,2.0,1.0,1.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
606,1.0,3.0,51.0,,7.0,,,,,1.0,3.0,3.0,3.0,,OTHER PARTY 
607,2.0,,45.0,168736.0,0.0,2.0,5.0,6.0,5.0,2.0,2.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
609,3.0,2.0,25.0,,5.0,,,,,,1.0,2.0,2.0,,NOT VERY STRONG REPUBLICAN
612,2.0,,33.0,15960.0,3.0,2.0,2.0,4.0,2.0,,1.0,1.0,2.0,"$15,000-19,999","INDEPENDENT (NEITHER, NO RESPONSE)"
614,2.0,2.0,56.0,94080.0,1.0,,,,,1.0,1.0,2.0,1.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
618,2.0,2.0,78.0,30240.0,6.0,,,,,1.0,1.0,2.0,2.0,"$30,000-39,999",STRONG REPUBLICAN
619,2.0,2.0,74.0,80640.0,0.0,,,,,,2.0,1.0,1.0,"$75,000-99,999",STRONG DEMOCRAT
625,1.0,,21.0,30240.0,3.0,2.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
628,3.0,2.0,66.0,36960.0,3.0,,,,,2.0,3.0,2.0,3.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
630,1.0,,56.0,94080.0,5.0,4.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,"$75,000-99,999",NOT VERY STRONG REPUBLICAN
631,3.0,2.0,52.0,94080.0,4.0,,,,,,1.0,2.0,2.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
634,2.0,,,55440.0,1.0,5.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
635,2.0,2.0,59.0,12600.0,2.0,,,,,,1.0,1.0,2.0,"$12,000-14,999","INDEPENDENT, CLOSE TO DEMOCRAT"
637,1.0,1.0,52.0,168736.0,6.0,,,,,1.0,1.0,2.0,2.0,"$100,000-999,999",STRONG REPUBLICAN
640,1.0,2.0,53.0,67200.0,4.0,,,,,1.0,3.0,2.0,3.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
644,3.0,,65.0,36960.0,2.0,7.0,5.0,7.0,5.0,,2.0,2.0,2.0,"$30,000-39,999","INDEPENDENT, CLOSE TO DEMOCRAT"
645,2.0,,74.0,18480.0,2.0,4.0,4.0,6.0,4.0,,2.0,2.0,1.0,"$15,000-19,999","INDEPENDENT, CLOSE TO DEMOCRAT"
647,2.0,,52.0,55440.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
651,2.0,1.0,52.0,14280.0,0.0,,,,,,2.0,1.0,1.0,"$12,000-14,999",STRONG DEMOCRAT
652,1.0,1.0,39.0,80640.0,7.0,,,,,1.0,1.0,2.0,2.0,"$75,000-99,999",OTHER PARTY 
655,2.0,2.0,74.0,80640.0,3.0,,,,,2.0,2.0,3.0,1.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
656,2.0,1.0,68.0,168736.0,0.0,,,,,,2.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
659,2.0,1.0,30.0,67200.0,0.0,,,,,,2.0,1.0,2.0,"$50,000-74,999",STRONG DEMOCRAT
660,1.0,1.0,60.0,168736.0,4.0,,,,,1.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
666,2.0,2.0,74.0,,0.0,,,,,2.0,2.0,2.0,1.0,,STRONG DEMOCRAT
667,2.0,2.0,62.0,168736.0,3.0,,,,,,1.0,2.0,2.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
668,2.0,,80.0,45360.0,1.0,7.0,3.0,7.0,2.0,,2.0,2.0,1.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
678,3.0,1.0,41.0,1344.0,3.0,,,,,,1.0,2.0,2.0,"$1,000-1,999 ","INDEPENDENT (NEITHER, NO RESPONSE)"
680,2.0,,44.0,94080.0,3.0,7.0,5.0,7.0,4.0,3.0,1.0,2.0,2.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
683,2.0,,24.0,67200.0,3.0,2.0,3.0,3.0,4.0,,3.0,3.0,3.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
689,3.0,,46.0,18480.0,1.0,4.0,5.0,5.0,1.0,,3.0,3.0,3.0,"$15,000-19,999",NOT VERY STRONG DEMOCRAT
693,2.0,1.0,86.0,7560.0,2.0,,,,,,1.0,2.0,2.0,"$7,000-7,999","INDEPENDENT, CLOSE TO DEMOCRAT"
698,2.0,,55.0,168736.0,3.0,7.0,5.0,7.0,5.0,2.0,1.0,1.0,2.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
708,3.0,1.0,72.0,30240.0,6.0,,,,,,1.0,2.0,1.0,"$30,000-39,999",STRONG REPUBLICAN
709,1.0,,43.0,168736.0,3.0,7.0,6.0,7.0,1.0,1.0,1.0,2.0,1.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
710,2.0,,57.0,168736.0,5.0,5.0,3.0,4.0,5.0,,2.0,1.0,1.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
711,2.0,2.0,67.0,,1.0,,,,,,2.0,1.0,1.0,,NOT VERY STRONG DEMOCRAT
713,3.0,3.0,20.0,45360.0,0.0,,,,,,1.0,2.0,2.0,"$40,000-49,999",STRONG DEMOCRAT
716,1.0,1.0,58.0,67200.0,4.0,,,,,1.0,3.0,3.0,3.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
717,2.0,,55.0,12600.0,4.0,7.0,5.0,6.0,4.0,,2.0,1.0,1.0,"$12,000-14,999","INDEPENDENT, CLOSE TO REPUBLICAN"
720,2.0,2.0,72.0,168736.0,1.0,,,,,2.0,3.0,3.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
721,1.0,1.0,61.0,45360.0,3.0,,,,,1.0,2.0,1.0,1.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
724,2.0,1.0,65.0,15960.0,5.0,,,,,,3.0,1.0,3.0,"$15,000-19,999",NOT VERY STRONG REPUBLICAN
726,2.0,1.0,30.0,168736.0,0.0,,,,,1.0,2.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
727,3.0,,73.0,94080.0,1.0,4.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
733,2.0,2.0,39.0,12600.0,3.0,,,,,,2.0,2.0,1.0,"$12,000-14,999","INDEPENDENT (NEITHER, NO RESPONSE)"
740,3.0,2.0,45.0,25200.0,4.0,,,,,3.0,2.0,1.0,1.0,"$25,000-29,999","INDEPENDENT, CLOSE TO REPUBLICAN"
744,2.0,1.0,75.0,80640.0,5.0,,,,,2.0,2.0,1.0,2.0,"$75,000-99,999",NOT VERY STRONG REPUBLICAN
745,2.0,2.0,89.0,30240.0,0.0,,,,,,1.0,2.0,2.0,"$30,000-39,999",STRONG DEMOCRAT
746,1.0,,83.0,94080.0,6.0,4.0,4.0,7.0,4.0,1.0,1.0,2.0,2.0,"$75,000-99,999",STRONG REPUBLICAN
747,1.0,1.0,,94080.0,5.0,,,,,1.0,2.0,2.0,1.0,"$75,000-99,999",NOT VERY STRONG REPUBLICAN
750,2.0,2.0,80.0,168736.0,2.0,,,,,1.0,2.0,1.0,1.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
751,1.0,,86.0,55440.0,4.0,3.0,3.0,7.0,2.0,2.0,2.0,2.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
752,1.0,,59.0,168736.0,0.0,7.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
762,1.0,,38.0,45360.0,3.0,7.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
765,2.0,,35.0,55440.0,2.0,6.0,4.0,5.0,4.0,1.0,2.0,3.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
767,1.0,,49.0,168736.0,5.0,2.0,1.0,3.0,5.0,,2.0,1.0,1.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
769,2.0,2.0,43.0,107520.0,3.0,,,,,1.0,3.0,3.0,3.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
770,2.0,,40.0,80640.0,3.0,7.0,5.0,5.0,5.0,,3.0,2.0,2.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
773,2.0,2.0,55.0,168736.0,2.0,,,,,1.0,3.0,1.0,3.0,"$100,000-999,999","INDEPENDENT, CLOSE TO DEMOCRAT"
774,1.0,,31.0,45360.0,3.0,4.0,5.0,7.0,2.0,1.0,3.0,3.0,3.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
778,3.0,1.0,74.0,45360.0,6.0,,,,,,3.0,3.0,3.0,"$40,000-49,999",STRONG REPUBLICAN
779,3.0,2.0,69.0,107520.0,0.0,,,,,1.0,2.0,2.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
783,3.0,2.0,21.0,80640.0,6.0,,,,,,3.0,2.0,2.0,"$75,000-99,999",STRONG REPUBLICAN
785,1.0,,62.0,168736.0,6.0,7.0,5.0,6.0,3.0,1.0,2.0,2.0,2.0,"$100,000-999,999",STRONG REPUBLICAN
787,1.0,2.0,37.0,168736.0,4.0,,,,,1.0,1.0,3.0,3.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
788,1.0,,68.0,80640.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,"$75,000-99,999",NOT VERY STRONG REPUBLICAN
789,1.0,2.0,39.0,168736.0,5.0,,,,,1.0,1.0,1.0,2.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
792,1.0,,61.0,80640.0,6.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,"$75,000-99,999",STRONG REPUBLICAN
793,1.0,2.0,69.0,45360.0,2.0,,,,,1.0,3.0,3.0,2.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
794,2.0,2.0,71.0,55440.0,5.0,,,,,,2.0,3.0,3.0,"$50,000-74,999",NOT VERY STRONG REPUBLICAN
795,2.0,,73.0,30240.0,3.0,4.0,3.0,6.0,3.0,,3.0,2.0,3.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
796,2.0,1.0,64.0,168736.0,6.0,,,,,1.0,3.0,3.0,2.0,"$100,000-999,999",STRONG REPUBLICAN
797,1.0,,70.0,45360.0,5.0,6.0,5.0,6.0,4.0,1.0,2.0,1.0,1.0,"$40,000-49,999",NOT VERY STRONG REPUBLICAN
799,2.0,1.0,55.0,168736.0,5.0,,,,,1.0,1.0,2.0,3.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
803,2.0,,77.0,1344.0,3.0,7.0,7.0,7.0,6.0,,3.0,1.0,3.0,"$1,000-1,999 ","INDEPENDENT (NEITHER, NO RESPONSE)"
804,2.0,2.0,56.0,45360.0,0.0,,,,,,3.0,3.0,3.0,"$40,000-49,999",STRONG DEMOCRAT
811,3.0,2.0,54.0,36960.0,4.0,,,,,,2.0,1.0,1.0,"$30,000-39,999","INDEPENDENT, CLOSE TO REPUBLICAN"
813,3.0,,40.0,55440.0,3.0,7.0,4.0,6.0,5.0,2.0,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
819,2.0,,18.0,168736.0,5.0,3.0,3.0,7.0,2.0,,2.0,2.0,1.0,"$100,000-999,999",NOT VERY STRONG REPUBLICAN
821,2.0,1.0,65.0,94080.0,2.0,,,,,2.0,2.0,1.0,1.0,"$75,000-99,999","INDEPENDENT, CLOSE TO DEMOCRAT"
822,2.0,2.0,66.0,107520.0,4.0,,,,,2.0,1.0,2.0,2.0,"$100,000-999,999","INDEPENDENT, CLOSE TO REPUBLICAN"
827,2.0,,67.0,36960.0,3.0,7.0,2.0,7.0,2.0,,1.0,2.0,1.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
839,2.0,2.0,60.0,168736.0,6.0,,,,,1.0,3.0,3.0,2.0,"$100,000-999,999",STRONG REPUBLICAN
840,2.0,1.0,79.0,36960.0,0.0,,,,,2.0,2.0,3.0,1.0,"$30,000-39,999",STRONG DEMOCRAT
845,3.0,2.0,28.0,168736.0,3.0,,,,,,1.0,2.0,2.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
850,2.0,,59.0,80640.0,4.0,7.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
852,2.0,,69.0,168736.0,0.0,6.0,5.0,7.0,1.0,1.0,2.0,2.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
853,3.0,3.0,72.0,45360.0,6.0,,,,,,1.0,2.0,2.0,"$40,000-49,999",STRONG REPUBLICAN
860,2.0,,,,3.0,7.0,3.0,3.0,2.0,,3.0,2.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
863,3.0,2.0,20.0,168736.0,0.0,,,,,,3.0,2.0,2.0,"$100,000-999,999",STRONG DEMOCRAT
865,3.0,2.0,42.0,107520.0,1.0,,,,,3.0,1.0,2.0,2.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
866,2.0,,65.0,94080.0,6.0,3.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,"$75,000-99,999",STRONG REPUBLICAN
868,2.0,1.0,54.0,168736.0,0.0,,,,,1.0,3.0,1.0,1.0,"$100,000-999,999",STRONG DEMOCRAT
870,2.0,,76.0,30240.0,4.0,7.0,7.0,7.0,5.0,1.0,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT, CLOSE TO REPUBLICAN"
876,2.0,,34.0,94080.0,1.0,3.0,4.0,2.0,4.0,,2.0,2.0,1.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
889,2.0,,67.0,55440.0,1.0,5.0,5.0,7.0,5.0,,2.0,2.0,1.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
894,2.0,3.0,28.0,36960.0,3.0,,,,,1.0,1.0,2.0,1.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
898,2.0,2.0,82.0,18480.0,0.0,,,,,,2.0,2.0,1.0,"$15,000-19,999",STRONG DEMOCRAT
903,3.0,,33.0,25200.0,6.0,7.0,2.0,1.0,7.0,,1.0,3.0,3.0,"$25,000-29,999",STRONG REPUBLICAN
905,3.0,,68.0,45360.0,3.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
906,2.0,,63.0,55440.0,1.0,5.0,6.0,6.0,3.0,2.0,2.0,2.0,1.0,"$50,000-74,999",NOT VERY STRONG DEMOCRAT
922,3.0,2.0,48.0,7560.0,6.0,,,,,,1.0,2.0,1.0,"$7,000-7,999",STRONG REPUBLICAN
926,2.0,,41.0,36960.0,4.0,5.0,5.0,4.0,4.0,,1.0,2.0,2.0,"$30,000-39,999","INDEPENDENT, CLOSE TO REPUBLICAN"
933,3.0,2.0,62.0,,4.0,,,,,,2.0,1.0,1.0,,"INDEPENDENT, CLOSE TO REPUBLICAN"
935,2.0,,21.0,6048.0,1.0,5.0,6.0,5.0,4.0,,1.0,2.0,2.0,"$6,000-6,999",NOT VERY STRONG DEMOCRAT
942,2.0,1.0,34.0,1344.0,3.0,,,,,,2.0,2.0,2.0,"$1,000-1,999 ","INDEPENDENT (NEITHER, NO RESPONSE)"
946,2.0,2.0,48.0,25200.0,4.0,,,,,1.0,1.0,2.0,1.0,"$25,000-29,999","INDEPENDENT, CLOSE TO REPUBLICAN"
953,2.0,,42.0,80640.0,4.0,5.0,5.0,6.0,6.0,,3.0,3.0,3.0,"$75,000-99,999","INDEPENDENT, CLOSE TO REPUBLICAN"
954,2.0,,50.0,168736.0,3.0,2.0,4.0,3.0,2.0,,2.0,2.0,2.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
966,2.0,,20.0,,1.0,5.0,3.0,5.0,5.0,,1.0,2.0,2.0,,NOT VERY STRONG DEMOCRAT
969,2.0,,25.0,21840.0,3.0,5.0,3.0,3.0,5.0,,3.0,2.0,1.0,"$20,000-24,999","INDEPENDENT (NEITHER, NO RESPONSE)"
972,3.0,2.0,64.0,6048.0,0.0,,,,,,3.0,2.0,2.0,"$6,000-6,999",STRONG DEMOCRAT
974,2.0,,46.0,5040.0,3.0,5.0,5.0,5.0,5.0,,1.0,2.0,2.0,"$5,000-5,999","INDEPENDENT (NEITHER, NO RESPONSE)"
975,3.0,,58.0,25200.0,0.0,2.0,3.0,6.0,5.0,,1.0,2.0,3.0,"$25,000-29,999",STRONG DEMOCRAT
980,2.0,,,80640.0,3.0,4.0,6.0,7.0,3.0,2.0,2.0,2.0,2.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
983,3.0,1.0,82.0,67200.0,3.0,,,,,,1.0,2.0,1.0,"$50,000-74,999","INDEPENDENT (NEITHER, NO RESPONSE)"
985,1.0,2.0,28.0,36960.0,3.0,,,,,1.0,3.0,2.0,2.0,"$30,000-39,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1007,2.0,2.0,44.0,,3.0,,,,,,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1010,1.0,1.0,69.0,55440.0,6.0,,,,,1.0,2.0,2.0,1.0,"$50,000-74,999",STRONG REPUBLICAN
1013,1.0,2.0,29.0,,1.0,,,,,,1.0,1.0,2.0,,NOT VERY STRONG DEMOCRAT
1027,3.0,2.0,23.0,,0.0,,,,,,1.0,2.0,2.0,,STRONG DEMOCRAT
1028,2.0,2.0,25.0,,7.0,,,,,,1.0,2.0,3.0,,OTHER PARTY 
1031,2.0,,58.0,2352.0,4.0,4.0,7.0,6.0,4.0,2.0,1.0,2.0,2.0,"$2,000-2,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1032,2.0,1.0,32.0,3024.0,3.0,,,,,1.0,2.0,1.0,2.0,"$3,000-3,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1034,2.0,,55.0,21840.0,1.0,5.0,5.0,7.0,1.0,,2.0,2.0,1.0,"$20,000-24,999",NOT VERY STRONG DEMOCRAT
1036,2.0,,45.0,,3.0,5.0,4.0,7.0,1.0,,3.0,2.0,1.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1037,2.0,2.0,18.0,,3.0,,,,,,3.0,2.0,3.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1042,3.0,2.0,25.0,45360.0,2.0,,,,,,1.0,2.0,2.0,"$40,000-49,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1046,2.0,,35.0,45360.0,5.0,7.0,5.0,5.0,2.0,2.0,1.0,2.0,2.0,"$40,000-49,999",NOT VERY STRONG REPUBLICAN
1048,2.0,,71.0,18480.0,4.0,3.0,3.0,7.0,3.0,,1.0,2.0,2.0,"$15,000-19,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1051,1.0,1.0,25.0,,3.0,,,,,,1.0,3.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1058,2.0,,56.0,45360.0,3.0,7.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,"$40,000-49,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1059,1.0,1.0,27.0,168736.0,3.0,,,,,1.0,2.0,3.0,3.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1065,3.0,,37.0,45360.0,0.0,7.0,5.0,6.0,5.0,3.0,2.0,3.0,3.0,"$40,000-49,999",STRONG DEMOCRAT
1068,3.0,,62.0,36960.0,6.0,5.0,3.0,3.0,3.0,,1.0,2.0,2.0,"$30,000-39,999",STRONG REPUBLICAN
1072,1.0,1.0,46.0,168736.0,3.0,,,,,,3.0,3.0,1.0,"$100,000-999,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1083,2.0,1.0,24.0,45360.0,0.0,,,,,,3.0,3.0,3.0,"$40,000-49,999",STRONG DEMOCRAT
1086,2.0,,36.0,30240.0,0.0,7.0,3.0,5.0,2.0,2.0,1.0,3.0,2.0,"$30,000-39,999",STRONG DEMOCRAT
1092,2.0,,53.0,168736.0,1.0,6.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1093,2.0,1.0,72.0,94080.0,3.0,,,,,1.0,2.0,1.0,1.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1094,2.0,1.0,44.0,107520.0,1.0,,,,,2.0,3.0,3.0,3.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1095,2.0,2.0,48.0,80640.0,1.0,,,,,2.0,1.0,1.0,2.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
1099,1.0,1.0,50.0,94080.0,3.0,,,,,1.0,2.0,1.0,1.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1107,2.0,,32.0,45360.0,1.0,6.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
1110,2.0,,20.0,45360.0,1.0,7.0,3.0,5.0,1.0,,1.0,2.0,1.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
1111,1.0,1.0,64.0,80640.0,3.0,,,,,3.0,2.0,2.0,2.0,"$75,000-99,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1115,2.0,,26.0,,1.0,2.0,3.0,4.0,2.0,,3.0,3.0,3.0,,NOT VERY STRONG DEMOCRAT
1118,3.0,2.0,42.0,21840.0,4.0,,,,,,2.0,2.0,2.0,"$20,000-24,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1120,3.0,2.0,66.0,36960.0,2.0,,,,,,3.0,2.0,3.0,"$30,000-39,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1122,2.0,,39.0,107520.0,1.0,7.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1123,3.0,,80.0,107520.0,1.0,4.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,"$100,000-999,999",NOT VERY STRONG DEMOCRAT
1128,2.0,2.0,32.0,80640.0,0.0,,,,,2.0,1.0,1.0,1.0,"$75,000-99,999",STRONG DEMOCRAT
1130,2.0,,41.0,55440.0,2.0,5.0,5.0,5.0,3.0,,1.0,2.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO DEMOCRAT"
1133,2.0,2.0,43.0,80640.0,1.0,,,,,2.0,2.0,3.0,1.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
1134,1.0,1.0,69.0,25200.0,0.0,,,,,,2.0,1.0,1.0,"$25,000-29,999",STRONG DEMOCRAT
1142,3.0,3.0,21.0,336.0,3.0,,,,,,1.0,2.0,2.0,$1-999,"INDEPENDENT (NEITHER, NO RESPONSE)"
1145,3.0,,21.0,7560.0,3.0,3.0,4.0,7.0,1.0,,1.0,1.0,1.0,"$7,000-7,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1153,3.0,,,,3.0,7.0,4.0,7.0,3.0,,1.0,2.0,2.0,,"INDEPENDENT (NEITHER, NO RESPONSE)"
1162,1.0,2.0,32.0,21840.0,3.0,,,,,1.0,2.0,2.0,1.0,"$20,000-24,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1163,2.0,,59.0,67200.0,4.0,5.0,4.0,6.0,3.0,1.0,1.0,2.0,2.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1167,2.0,2.0,63.0,15960.0,4.0,,,,,,3.0,1.0,1.0,"$15,000-19,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1178,3.0,,55.0,21840.0,3.0,7.0,7.0,7.0,7.0,,1.0,2.0,2.0,"$20,000-24,999","INDEPENDENT (NEITHER, NO RESPONSE)"
1182,2.0,2.0,82.0,80640.0,1.0,,,,,,2.0,1.0,1.0,"$75,000-99,999",NOT VERY STRONG DEMOCRAT
1183,3.0,2.0,20.0,45360.0,1.0,,,,,,2.0,2.0,1.0,"$40,000-49,999",NOT VERY STRONG DEMOCRAT
1191,2.0,2.0,89.0,67200.0,4.0,,,,,1.0,1.0,2.0,1.0,"$50,000-74,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1193,3.0,,74.0,25200.0,4.0,4.0,3.0,6.0,5.0,,1.0,2.0,2.0,"$25,000-29,999","INDEPENDENT, CLOSE TO REPUBLICAN"
1197,2.0,2.0,33.0,67200.0,0.0,,,,,2.0,1.0,2.0,2.0,"$50,000-74,999",STRONG DEMOCRAT
